Nombre_Nuevo_Excel,Mejor_Coincidencia_Sistema_Actual,Nivel_de_Confianza_Porcentaje,Sheet_Origen
CB9820 BUJE PARA ENSAMBLE 9820,FR-9303 / CB9721,41,FICHAS_INT_CAR
CB9821 BUJE PARA ENSAMBLE 9821,FR-9303 / CB9721,41,FICHAS_INT_CAR
CB9823 BUJE PARA ENSAMBLE 9823,FR-9303 / CB9721,41,FICHAS_INT_CAR
CB9824 BUJE PARA ENSAMBLE 9824 ESCOPETA DE TOYOTA BURBUJA,INY-8CDEAEEE,29,INYECCION
CB9826 BUJE PARA ENSAMBLE 9826 ESCOPETA DE TOYOTA BURBUJA,INY-8CDEAEEE,29,INYECCION
CB9829 CB9829 BUJE BARRA ESTABILIZADORA NISSAN CABSTAR Y MT 3000,INY-3F0CAC88,29,INYECCION
CB9830 BUJE PARA ENSAMBLE 9830,FR-9303 / CB9721,41,FICHAS_INT_CAR
CB9831 BUJE PARA ENSAMBLE 9831,FR-9303 / CB9721,41,FICHAS_INT_CAR
CB9834 BUJE PARA ENSAMBLE 9834,INY-832E6C98,38,INYECCION
CB9837 BUJE PARA ENSAMBLE 9837 (BUJES MUÑECO ATOS),FR-9303 / CB9721,30,FICHAS_INT_CAR
CB9851 BUJE PARA ENSAMBLE 9851 COUNTY,INY-9BEC3513,37,INYECCION
CB9858 BUJE PARA ENSAMBLE 9858,858b9dba,37,INYECCION
CB9859 BUJE PARA ENSAMBLE 9859,INY-9BEC3513,33,INYECCION
CB9861 BUJE PARA ENSAMBLE 9861,8197861b,37,INYECCION
CB9867 BUJE PARA ENSAMBLE 9867 (9928),INY-28BB866B,34,INYECCION
CB9873 BUJE POLIURETANO PARA ENSAMBLE 9873,INY-3EC6BC3A,33,INYECCION
CB9881B BUJE PARA 9881 BLANCO,CB9881B,39,PULIDO
CB9881N BUJE PARA 9881 NEGRO,INY-488EDB91,40,INYECCION
CB9881V BUJE PARA 9881 VERDE CON PESTAÑA,INY-488EDB91,31,INYECCION
CB9893 BUJE PARA ENSAMBLE 9893,INY-832E6C98,38,INYECCION
CB9908 BUJE POLIURETANO ENSAMBLE 9908,INY-BC90EC97,33,INYECCION
CB9920 BUJE POLIURETANO PARA ENSAMBLE 9920,INY-0B912EA1,33,INYECCION
CB9923 9923 BUJE PARA ENSAMBLE 9923,FR-9303 / CB9721,41,FICHAS_INT_CAR
CB9930 BUJE POLIURETANO ENSAMBLE 9930,INY-3EC6BC3A,37,INYECCION
CB9931 BUJE POLIURETANO ENSAMBLE 9931,INY-9BEC3513,37,INYECCION
CB9933 BUJE POLIURETANO ENSAMBLE 9933,INY-9BEC3513,37,INYECCION
CB9934 BUJE PARA ENSAMBLE 9934,FR-9303 / CB9721,36,FICHAS_INT_CAR
CB9935 BUJE PARA ENSAMBLE 9935 ( templador de la suspensión ampro plataforma),INY-9939AF1F,21,INYECCION
CB9945 BUJE POLIURETANO ENSAMBLE 9945,INY-485EBA3B,37,INYECCION
CB9946 BUJE POLIURETANO PARA ENSAMBLE 9946,INY-9BF462BE,33,INYECCION
CB-9949 BUJE PARA ENSAMBLE  MUELLE VOLKSWAGEN AMAROK,INY-8CDEAEEE,25,INYECCION
CB9959 BUJE POLIURETANO PARA ENSAMBLE 9959,INY-BB96591B,33,INYECCION
CIM-007 BUJE PARA ENSAMBLE 97079,INY-90336979,32,INYECCION
CIM93006HDR BUJE PARA ENSAMBLE 93006HDR,CIM93006HDR,44,PULIDO
CIM93080 BUJE POLIURETANO PARA ENSAMBLE 93080,INY-700EC8B7,32,INYECCION
CIM97027 BUJE POLIURETANO PARA ENSAMBLE 97027,INY-BC90EC97,32,INYECCION
CIM97035 BUJE PARA ENSAMBLE 97035,FR-9303 / CB9721,38,FICHAS_INT_CAR
CIM97039 BUJE POLIURETANO PARA ENSAMBLE 97039,INY-73993ABB,35,INYECCION
CIM97040 BUJE POLIURETANO PARA ENSAMBLE 97040,INY-04CC70EE,35,INYECCION
CIM97060 BUJE PARA ENSAMBLE 97060,CM7002SPA,38,PULIDO
CIM97066 BUJE POLIURETANO PARA ENSAMBLE  97066,INY-BC90EC97,32,INYECCION
CIM97079 BUJE POLIURETANO PARA ENSAMBLE 97079,INY-BC90EC97,32,INYECCION
CIM97080 BUJE POLIURETANO PARA ENSAMBLE 97080,INY-700EC8B7,35,INYECCION
CIM98020 BUJE PARA ENSAMBLE 98020,INY-A98E0206,36,INYECCION
CM7001 BUJE PARA ENSAMBLE 7001,CM7002SPA,41,PULIDO
CM7002SPA BUJE MT PARA ENSAMBLE 7002-SPA,CM7002SPA,37,PULIDO
CM7005 BUJE MT PARA ENSAMBLE 7005,CM7002SPA,38,PULIDO
CM7005B BUJE PARA ENSAMBLE MT-7005-B,CM7002SPA,36,PULIDO
CM7008 BUJE MT PARA ENSAMBLE 7008,CM7002SPA,38,PULIDO
CM7008B BUJE MT PARA ENSAMBLE 7008 BLANCO,INY-700EC8B7,34,INYECCION
CM7009 BUJE MT PARA ENSAMBLE 7009,CM7002SPA,38,PULIDO
CM7009B BUJE PARA ENSAMBLE 7009 BLANCO,CM7002SPA,34,PULIDO
CM7010 BUJE MT PARA ENSAMBLE 7010,CM7002SPA,38,PULIDO
CM7011 BUJE MT PARA ENSAMBLE 7011,INY-7071B7C1,36,INYECCION
CM7011B BUJE PARA ENSAMBLE MT 7011-B,INY-7071B7C1,33,INYECCION
CM7012 BUJE MT PARA ENSAMBLE 7012,CM7002SPA,38,PULIDO
CM7013 BUJE MT PARA ENSAMBLE 7013,INY-7071B7C1,36,INYECCION
CM7013B BUJE PARA ENSAMBLE 7013 BLANCO,FR-9303 / CB9721,35,FICHAS_INT_CAR
CM7014 BUJE MT PARA ENSAMBLE 7014,INY-7071B7C1,36,INYECCION
CM7015 BUJE PARA ENSAMBLE 7015,INY-7071B7C1,38,INYECCION
CM7016 BUJE PARA ENSAMBLE MT-7016,INY-7071B7C1,36,INYECCION
CM7017 BUJE PARA ENSAMBLE 7017,INY-7071B7C1,38,INYECCION
CM7018 BUJE PARA ENSAMBLE MT-7018,INY-7071B7C1,36,INYECCION
CM7019 BUJE PARA ENSAMBLE 7019,INY-7071B7C1,38,INYECCION
CM7021 BUJE PARA ENSAMBLE 7021,CM7002SPA,41,PULIDO
CM7022 BUJE PARA EMSAMBLE 7022,CM7002SPA,41,PULIDO
CM7023 BUJE PARA ENSAMBLE 7023,CM7002SPA,41,PULIDO
CM7024 BUJE PARA ENSAMBLE 7024,CM7002SPA,41,PULIDO
CM7025 BUJE PARA ENSAMBLE 7025,CM7002SPA,41,PULIDO
CM7029 BUJE PARA ENSAMBLE 7029,CM7002SPA,41,PULIDO
CM7030 BUJE MT PARA ENSAMBLE 7030,CM7002SPA,38,PULIDO
CM7032 BUJE MT PARA ENSAMBLE 7032,CM7002SPA,38,PULIDO
DE-1000 1000 BUJE TIJERA SALAMANDRA 3,INY-120DE7AA,33,INYECCION
FR-5000 5000 BUJE SUPLEMENTO PARA ESPIRAL  DE 90ML MEDIACAÑA,INY-505F9EA8,26,INYECCION
FR-5001 5001 BUJE SUPLEMENTO DE AMORTIGUADOR UNIVERSAL,INY-05001208,24,INYECCION
FR-5002 5002 BUJE SUPLEMETO AMORTIGUADOR TOYOTA HILUX VIGO Y TOYOTA TX Y TXL,INY-5512EEFA,20,INYECCION
FR-5002A 5002A  BUJE SUPLEMETO AMORTIGUADOR TOYOTA HILUX VIGO Y TOYOTA TX Y TXL 38MM,INY-8A0AB4A0,19,INYECCION
FR-5002B 5002B  BUJE SUPLEMETO AMORTIGUADOR TOYOTA HILUX VIGO Y TOYOTA TX Y TXL 21MM,INY-120DE7AA,21,INYECCION
FR-5003 5003 BUJE  SUPLEMENTO MAZDA BT-50 Y LUV DMAX 4X2,INY-4533EB9D,27,INYECCION
FR-5004 5004 BUJE SUPLEMENTO DE 100mm UNIVERSAL,21054bee,25,INYECCION
"FR-5005 5005 BUJE SUPLEMENTO DELANTERO Y TRASERO SUZUKI JIMNY, Y  TRASERO GRAND VITARA",INY-5512EEFA,21,INYECCION
FR-5006 5006 BUJE SUPLEMENTO NISSAN FRONTIER NP 300,INY-3064F8FE,29,INYECCION
"FR-5008 5008 BUJE SUPLEMENTO FORD RANGER LIMITED 3,2 MOD 2020",INY-05001208,25,INYECCION
FR-5009 5009 BUJE SUPLEMETO ELEVACION FORD 150,INY-0515F19B,28,INYECCION
"FR-5014 5014 BUJE SUPLEMENTO AMORTIGUADOR TOYOTA_x000D_
COROLLA CROSS",INY-1457016F,22,INYECCION
FR-5015 5015 SUPLEMENTO TRASERA TOYOTA COROLLA CROSS,INY-1457016F,25,INYECCION
