Nombre_Nuevo_Excel,Mejor_Coincidencia_Sistema_Actual,Nivel_de_Confianza_Porcentaje,Sheet_Origen
FR-9920 9920 BUJE TEMPLETE BARA ESTABILIZADORA TOYOTA 1999 - 2016,INY-191C6219,24,INYECCION
FR-9921 9921 BUJE BARRA ESTABILIZADORA DELANTERA HYUNDAI COUNTY 4X2 2010 ………,INY-0429A0DB,21,INYECCION
FR-9922 9922 BUJE BARRA ESTABILIZADORA CHERY VAN CARGO- VAN PASS 2012,INY-E2229EA3,22,INYECCION
FR-9923 9923 BUJE MUELLE FORD RANGER 2.2 y 3.2 MOD 2017 …….,INY-22232939,30,INYECCION
FR-9925 9925 BUJE MUELLE PARTE FIJA KEYTON VAN,INY-591EE0EE,28,INYECCION
FR-9926 9926 BUJE BALANCIN PARTE BALANCIN KEYTON VAN,INY-9C262D6B,31,INYECCION
FR-9927 9927 BUJE PUNTA BARRA ESTABILIZADORA NPR Ext. 28mm,INY-9271F7A2,23,INYECCION
FR-9928 9928 9835 BUJE MUELLE 40mm X 18mm X 30mm (9836),FR-9303 / CB9721,27,FICHAS_INT_CAR
FR-9929 9929 BUJE MUELLE PARTE CHASIS DFSK 1500,9999caae,29,INYECCION
FR-9930 9930 BUJE BARRA ESTABILIZADORA DELANTERA HINO FC,INY-9939AF1F,29,INYECCION
FR-9931 9931 BUJE MUELLE KIA GRAN PREGIO MOD 2008 ...../ KIA K2700 / HYUNDAI STAREX,INY-9939AF1F,21,INYECCION
FR-9933 9933 BUJE TIJERA TOYOTA COROLLA,INY-9939AF1F,35,INYECCION
FR-9934 9934 BUJE TIJERA PUÑO TOYOTA COROLLA,INY-9939AF1F,33,INYECCION
FR-9935 9935 BUJE TEMPLADOR DE LA SUSPENSIÒN AMPRO PLATAFORMA,INY-9939AF1F,28,INYECCION
FR-9936 9936 BUJE TOPE MUELLE FORD RANGER BT-50 CORTO,INY-07D336CE,25,INYECCION
FR-9937 9937 BUJE TOPE MUELLE FORD RANGER BT-50 LARGO,INY-58037BAE,28,INYECCION
FR-9938 9938 BUJE CABINA Ø56 X Ø12 X 52,FR-9303 / CB9721,35,FICHAS_INT_CAR
FR-9939 9939 BUJE CABINA Ø67 X Ø13 X 67,INY-73993ABB,37,INYECCION
FR-9940 9940  BUJE CABINA Ø80 X Ø14  X 70,INY-14E4B23E,33,INYECCION
FR-9941 9941 BUJE MUELLE N300,0414f300,38,INYECCION
FR-9942 9942 BUJE SUAVIZADOR DE HOJA DE MUELLE TOYOTA HILUX VIGO 48250-OK010 CON ESPESOR DE 5ml,INY-8CDEAEEE,19,INYECCION
FR-9943 9943 BUJE SUAVIZADOR RECTANGULAR PESTAÑA OVALADA PARA HOJA MERCEDES BENZ,INY-9744AEAD,20,INYECCION
FR-9944 9944 BUJE TOPE  SUPERIOR BALLESTA NISSAN FRONTIER,INY-9939AF1F,26,INYECCION
FR-9944R 9944R BUJE TOPE  SUPERIOR BALLESTA NISSAN FRONTIER REPUESTO,INY-9939AF1F,23,INYECCION
FR-9945 9945 BUJE TIJERA SUPERIOR HILUX 4X4 CORTO MOD 85-05,INY-25C9459D,23,INYECCION
FR-9946 9946 BUJE DELANTERO SUPERIOR NISSAN URVAN D21 MOD 87 - 90,INY-89E0EDD3,24,INYECCION
FR-9947 9947 BUJE BARRA ESTABILIZADORA DELANTERA SCANEA,INY-44B0CBEE,27,INYECCION
"FR-9953 9953 BUJE BARRA ESTABILIZADORA NPR, NKR, NHR 35mm",INY-73993ABB,27,INYECCION
FR-9955 9955 BUJE SUAVIZADOR TOYOTA HI ACE MODERNO,INY-9939AF1F,29,INYECCION
FR-9956 9956 SUAVIZADOR MERCEDES ACCELO,INY-9C0CE0FE,31,INYECCION
FR-9957 9957 BUJE TRASERO TOYOTA NEW HI ACE PREMIO GDH,INY-9939AF1F,27,INYECCION
FR-9959 9959 BUJE BARRA ESITABILIZADORA TRASERA MERCEDES ATEGO,595a4dfa,20,INYECCION
FR-9960 9960 BUJE BARRA ESTABILIZADORA MERCEDES ATEGO,FR-9306HDR,25,FICHAS_INT_CAR
FR-9962 9962 BUJE MUELLE LARGO NISSAN DATSUN l200,INY-296D0CE6,30,INYECCION
FR-9963 9963 BUJE LARGO PARA BALANCIN DOBLE FUNCION TOYOTA REVO - VIGO,INY-73993ABB,28,INYECCION
FR-9964 9964 BUJE CORTO PARA BALANCIN DOBLE FUNCION TOYOTA REVO - VIGO,INY-44B0CBEE,28,INYECCION
FR-9965 9965 BUJE PARTE FIJA NISSAN DATSUN 720 D21 PATHFINDER - FRONTIER ISUZO TROOPER,INY-9939AF1F,19,INYECCION
FR-9968 9968 BUJE TOPE MUELLE DAIHATSU DELTA CHASIS,9999caae,27,INYECCION
FR-9974 9974 BUJE INTERNO GIRATORIO BALANCIN DOBLE FUNCION TOYOTA 4.5,INY-44B0CBEE,27,INYECCION
FR-9977 9977 BUJE ARTICULACION BALANCIN DOBLE FUNCION NISSAN D21 - FRONTIER,INY-77D1BEE1,24,INYECCION
FR-9978 9978 BUJE TORRE AMORTIGUADOR UNIVERSAL- PEQUEÑO,INY-77D1BEE1,25,INYECCION
FR-9980 9980 BUJE TORRE AMORTIGUADOR UNIVERSAL - GRANDE,INY-8CDEAEEE,25,INYECCION
FR-9984 9984 BUJE FOTON (AUMARK) EXT 38.5,9999caae,30,INYECCION
FR-9985 9985 BUJE MUELLE PARTE FIJA TOYOYA HILUX (RB-410),INY-4159C850,27,INYECCION
FR-CAR 001 BUJE CARCAZA PARA HOJA MUELLE NKR,INY-8075CCCE,25,INYECCION
FR-LLAVERO BUJE LLAVERO,bed3a7ae,32,INYECCION
HR-G31D HERRADURA GRANDE DELANTERA 31-33,INY-EE33AA1D,31,INYECCION
HR-G31T HERRADURA GRANDE TRASERA 31-33,33a6daee,26,INYECCION
HR-M27D HERRADURA MEDIANA DELANTERA 27-30,INY-70D257D2,34,INYECCION
HR-M27T HERRADURA MEDIANA TRASERA 27 - 30,INY-0E18A1A2,31,INYECCION
HR-M27T-FT HERRADURA MEDINA TRASERA FOTOLUMINISCENTE 27-30,INY-3FC6EEA3,26,INYECCION
HR-P24D HERRADURA PEQUEÑA DELANTERA 24-26,fdeea24d,29,INYECCION
HR-P24T HERRADURA PEQUEÑA TRASERA 24-26,INY-4E7A21EE,28,INYECCION
HR-XLD HERRADURA GIGANTE DELANTERA,INY-8CDEAEEE,30,INYECCION
HR-XLT HERRADURA GIGANTE TRASERA,INY-DEE5ADE2,27,INYECCION
IM-50002 50002 BUJE SUPLEMETO AMORTIGUADOR TOYOTA HILUX  VIGO Y TOYOTA  TX Y TXL,INY-5512EEFA,20,INYECCION
IM-50003 50003 BUJE  SUPLEMENTO  MAZDA BT-50 Y LUV DMAX 4X2,INY-4533EB9D,29,INYECCION
IM-50006 50006 BUJE SUPLEMENTO NISSAN FRONTIER NP 300,INY-05001208,25,INYECCION
IM-90001 90001 BUJE TRAILER INCA CONICO,INY-05001208,31,INYECCION
IM-90002 90002 BUJE TRAILER INCA CONICO,INY-0429A0DB,31,INYECCION
IM-90003 90003 BUJE QUINTA RUEDA HOLLAND,INY-D03023ED,35,INYECCION
IM-90004 90004 BUJE QUINTA RUEDA HOLLAND MOD VIEJO,INY-9744AEAD,29,INYECCION
IM-93001 93001 BUJE UNIVERSAL ESTABILIZADORA,INY-161BEA5B,32,INYECCION
IM-93002 93002 BUJE PARA SUSPENSION UNIVERSAL,INY-3265F93B,28,INYECCION
IM-93003 93003 BUJE TOYOTA LAND CRUISER MOD 80,INY-07D336CE,31,INYECCION
"IM-93004 93004 BUJE CHEVROLET LUV, TROOPER",INY-44B0CBEE,30,INYECCION
IM-93005 93005 BUJE SUZUKI SAMURAI SUPER CARRY LISO,FR-9303 / CB9721,25,FICHAS_INT_CAR
IM-93006 93006 BUJE ISUZU NKR TRASERO VARIOS,INY-3265F93B,29,INYECCION
IM-93006HD 93006HD BUJE ISUZU NKR TRASERO VARIOS,FR-9306HDR,31,FICHAS_INT_CAR
IM-93006HDR 93006HDR BUJE ISUZU NKR TRASERO VARIOS,FR-9306HDR,30,FICHAS_INT_CAR
IM-93008 93008 BUJE SUZUKI SAMURAI SUPER CARRY DELANTERO Y TRASERO,INY-8CDEAEEE,26,INYECCION
IM-93009 93009 BUJE TOYOTA LAND CRUISER BP-70 TRASERO,INY-73993ABB,34,INYECCION
IM-93010 93010 BUJE CHEVROLET LUV 1600 TRASERO,INY-10A3A09B,28,INYECCION
IM-93011 93011 BUJE MUELLE BALANCIN MONTERO MITSUBISHI LARGO,FR-9303 / CB9721,24,FICHAS_INT_CAR
IM-93012 93012 BUJE MUELLE BALANCIN MONTERO MITSUBISHI CORTO,INY-936A12CC,25,INYECCION
IM-93013 93013 BUJE HYUNDAI HD 65 HD 72,INY-742941BA,31,INYECCION
"IM-93013H 93013H BUJE HYUNDAI HD 65, 72 Y 78 CAMISA EX",INY-603311E8,31,INYECCION
"IM-93013HD 93013HD BUJE HYUNDAI HD 65, 72 Y 78 BUJE INTERNO",INY-77D1BEE1,31,INYECCION
IM-93014 93014 BUJE BRAZO CHEVROLET SPARK,INY-44B0CBEE,30,INYECCION
"IM-93016 93016 BUJE BALANCIN MUELLE PARA MITSUBISHI MONTERO, L200, MAZDA",FR-9303 / CB9721,24,FICHAS_INT_CAR
"IM-93017 93017 BUJE DE MUELLE PARA NISSAN 620,720 TRASERO LISO PEQUEÑO",INY-77D1BEE1,22,INYECCION
IM-93018 93018 BUJE FORD RANGER CORTO 2010,INY-05001208,33,INYECCION
IM-93020 93020 BUJE NISSAN D21 4WD TODOS MODELOS TRASERO,INY-D03023ED,29,INYECCION
IM-93022 93022 BUJE CON CARCAZA NHR NKR,INY-9BBB3ACC,31,INYECCION
IM-93026 93026 BUJE LARGO TOYOTA HILUX,INY-3265F93B,36,INYECCION
IM-93029 93029 BUJE FOR RANGER,FR-9303 / CB9721,41,FICHAS_INT_CAR
IM-93055 93055 BUJE BARRA ESTABILIZADORA LAND CRUISER BURBUJA,INY-9BBB3ACC,25,INYECCION
IM-93078 93078 BUJE AMORTIGUADOR TOYOTA UNIVERSAL,INY-77D1BEE1,26,INYECCION
IM-93080 93080 BUJE NPR (HOJA),INY-9086E6A4,40,INYECCION
IM-93082 93082 BUJE MUELLE BALANCIN PARA TOYOTA LAND CRUISER,INY-38BACE22,28,INYECCION
IM-94001 94001 BUJE CHEVROLET LUV 1600; 2000; 2300,INY-10A3A09B,27,INYECCION
"IM-94011 94011 BUJE MAZDA B1600, B2000, B2200",INY-0944B1B0,33,INYECCION
IM-94013 94013 BUJE CAMPEROS GENERICO,INY-44B0CBEE,33,INYECCION
"IM-94030 94030 BUJE MUÑECO RENAULT CLIO, SYMBOL",INY-93F40D60,32,INYECCION
IM-94030 A 94030 A BUJE CON PESTAÑA,INY-99A403AD,35,INYECCION
IM-94030 B 94030 B BUJE MUÑECO SIN PESTAÑA,INY-30A43CA6,35,INYECCION
IM-94030 C 94030 C BUJE CON FIGURA,FR-9303 / CB9721,38,FICHAS_INT_CAR
IM-96009 96009 BUJE PARTE FIJA LUV  2300 DMAX,INY-0969EF13,29,INYECCION
IM-96022 96022 BUJE SUAVIADOR UNIVERSAL CUADRADO,INY-9BF462BE,27,INYECCION
IM-96028 96028 BUJE MUELLE HULE BALANCIN CORTO PARA MITSUBISHI MONTERO.,INY-296D0CE6,22,INYECCION
IM-96029 96029 BUJE MUELLE HULE BALANCIN LARGO PARA MITSUBISHI MONTERO.,INY-296D0CE6,22,INYECCION
IM-96030 96030 BUJE FORD RANGER CORTO 2010,INY-10A3A09B,33,INYECCION
IM-96031 96031 BUJE CONICO AMORTIGUADOR MERCEDES BENZ,INY-3603DDEB,28,INYECCION
IM-96032 96032 BUJE CONICO VARIOS,INY-936A12CC,36,INYECCION
IM-96033 96033 BUJE CONICO MEDIANO,INY-339D63C3,39,INYECCION
IM-96034 96034 BUJE DE TENSOR ATOS,INY-3603DDEB,39,INYECCION
IM-96036 96036 BUJE BRAZO CHEVROLET SPRINT,INY-07D336CE,33,INYECCION
IM-96040 96040 BUJE DMAX 4 X 4,INY-49A0F964,38,INYECCION
IM-96058 96058 BUJE MUELLE BALANCIN RB-414 SOLO POLIURETANO,INY-44B0CBEE,28,INYECCION
IM-96072 96072 BUJE NKR NHR NPR PARA HOJA,INY-9BF462BE,30,INYECCION
IM-97001 97001 BUJE CHEVROLET N200-300 LARGO,INY-77D1BEE1,32,INYECCION
IM-97002 97002 BUJE TOYOTA NEW HILUX VIGO 2007 LARGO,INY-20803252,28,INYECCION
IM-97003 97003 BUJE TOYOTA HILUX VIGO 2007 CORTO,INY-90336979,27,INYECCION
IM-97004 97004 BUJE CHEVROLET N200-300 CORTO,INY-04CC70EE,32,INYECCION
IM-97005 97005 BUJE MUELLE PARTE FIJA CHINOS,INY-1702535B,29,INYECCION
IM-97006 97006 BUJE HYUNDAI COUNTY,INY-90336979,35,INYECCION
"IM-97007 97007 BUJE PARTE FIJA HYUNDAI HD 65, 72 Y 78",INY-52970766,31,INYECCION
IM-97008 97008 BUJE BALANCIN MUELLE DAIHATSU F-20,INY-05001208,26,INYECCION
IM-97009 97009 BUJE TEMPLETE PARA CHINOS TODAS LAS SERIES,9999caae,25,INYECCION
IM-97010 97010 BUJE AMORTIGUADOR DELANTERO TOYOTA NEW HILUX VIGO 2007,INY-07DBDAE9,27,INYECCION
IM-97011 97011 BUJE PARTE FIJA DAIHATSU F-20 TODOS,INY-11967DFF,29,INYECCION
IM-97012 97012 BUJE HYUNDAI COUNTY SOLO BUJE INT,INY-77D1BEE1,30,INYECCION
IM-97014 97014 BUJE SUAVIADOR UNIVERSAL REDONDO MEDIANO,INY-9744AEAD,30,INYECCION
IM-97015 97015 BUJE SUAVISADOR UNIVERSAL REDONDO GRANDE,INY-77D1BEE1,27,INYECCION
IM-97016 97016 BUJE SUAVIZADOR PEQUEÑO,INY-77D1BEE1,33,INYECCION
IM-97018 97018 BUJE BALANCIN FOTON CAMION,INY-7071B7C1,34,INYECCION
IM-97020 97020 BUJE PARTE FIJA FRONTIER GRUESO,FR-9303 / CB9721,30,FICHAS_INT_CAR
IM-97021 97021 BUJE NPR,FR-9303 / CB9721,49,FICHAS_INT_CAR
IM-97022 97022 BUJE RB 413 PARTE FIJA NPR 2011,INY-115C4020,31,INYECCION
IM-97023 97023 BUJE RB 440 PARTE FIJA NPR 2011,FR-9303 / CB9721,33,FICHAS_INT_CAR
IM-97024 97024  BUJE BALANCIN NISSAN FRONTIER,INY-44B0CBEE,36,INYECCION
IM-97025 97025 BUJE DAIHATSU F20 LARGO,INY-70D257D2,36,INYECCION
IM-97026 97026 BUJE BARRA ESTABILIZADORA VIGO HIACE,INY-9BBB3ACC,25,INYECCION
IM-97027 97027 BUJE NISSAN TIDA VERSA Y MICRA,INY-7071B7C1,32,INYECCION
IM-97031 97031 BUJE MUELLE CHEVROLET N300 2015 Corto,INY-07D336CE,28,INYECCION
"IM-97032 97032 BUJE MUELLE TOYOTA 4,5 MONJITA VENEZOLANA",INY-9735F203,29,INYECCION
IM-97035 97035 BUJE TIJERA MAZDA BT-50,INY-543A05AD,32,INYECCION
IM-97039 97039 BUJE HD 65,INY-90336979,43,INYECCION
IM-97040 97040 BUJE TIJERA LUV 2300 Y DMAX,INY-742941BA,33,INYECCION
IM-97041 97041 BUJE BALANCIN LARGO HIACE,INY-44B0CBEE,35,INYECCION
IM-97042 97042 BUJE HINO FG PEQUEÑO,INY-0429A0DB,39,INYECCION
IM-97043 97043 BUJE HINO FG GRANDE,INY-9744AEAD,43,INYECCION
IM-97045 97045 BUJE FORD RANGER LARGO,INY-7524BFD2,37,INYECCION
IM-97046 97046 BUJE BARRA TEMPLETE DE HINO,INY-9744AEAD,37,INYECCION
IM-97047 97047 BUJE TOYOTA 14MM VENEZOLANA,INY-4C7C0497,33,INYECCION
IM-97048 97048 BUJE SUAVISADOR HOJA ECUADOR,INY-9744AEAD,33,INYECCION
IM-97050 97050 BUJE PARTE FIJA VIGO 23MM (BUJE ENSAMBLE 97039),FR-9303 / CB9721,24,FICHAS_INT_CAR
IM-97052 97052 BUJE BARRA MAZDA BT-50,INY-58037BAE,33,INYECCION
IM-97058 97058 BUJE DAIHATSU DELTA,INY-F5878EE5,35,INYECCION
IM-97059 97059 BUJE MUELLE DAIHATSU SUPER DELTA,INY-07DBDAE9,27,INYECCION
IM-97060 97060 BUJE DMAX PRADO,0960b1da,37,INYECCION
"IM-97061 97061 BUJE AMORTIGUADOR CARRETA UNIVERSAL, PUNTA BARRA ESTABILIZADORA NHR",INY-6EC1AEEB,22,INYECCION
IM-97062 97062 BUJE CONICO AMORTIGUADOR NHR/NKR/NPR,INY-0429A0DB,29,INYECCION
IM-97065 97065 BUJE TOPE AUXILIAR NPR,INY-76253970,37,INYECCION
IM-97066 97066 BUJE TIJERA SUPERIOR NISSAN FRONTIER,INY-52970766,29,INYECCION
IM-97071 97071 BUJE BARRA ESTABILIZADORA CHEVROLET SPARK,09aecdaa,25,INYECCION
"IM-97072 97072 BUJE BARRA ESTABILIZADORA CHEVROLET N200_x000D_
 Y CHINOS",INY-700EC8B7,24,INYECCION
IM-97079 97079 BUJE TIJERA SUPERIOR DMAX 4X2,INY-07DBDAE9,29,INYECCION
IM-97080 97080 BUJE TIJERA INF DMAX 4X2,INY-69B0817D,31,INYECCION
IM-97083 97083 BUJES MUELLE LUV 2300 DIAMETRO INT 16 MM,INY-69B0817D,27,INYECCION
IM-97084 97084 BUJE BARRA TENSORA CHEVROLET N300,INY-04CC70EE,30,INYECCION
IM-97086 97086 BUJE SUZUKI GRAND VITARA SZ,INY-9086E6A4,30,INYECCION
IM-97087 97087 BUJE BARRA ESTABILIZADORA AVEO,INY-58037BAE,28,INYECCION
IM-97088 97088 BUJE BARRA ESTABILIZADORA CORSA,INY-700EC8B7,28,INYECCION
IM-97089 97089 BUJE BARRA ESTABILIZADORA RENAULT SYMBOL,INY-9744AEAD,30,INYECCION
IM-97090 97090 BUJE MUELLE MAZDA BT-50,9999caae,30,INYECCION
IM-97091 97091 BUJE BARRA TENSORA LUV 2300 TROOPER,INY-90336979,26,INYECCION
IM-97092 97092 BUJE VARILLA TENSORA MAZDA B2000,INY-90336979,27,INYECCION
IM-98001 98001 BUJE BARRA ESTABILIZADORA RENAULT DUSTER,INY-89E0EDD3,27,INYECCION
IM-98003 98003 BUJE MUELLE ESPECIAL LUV CHEVROLET 44X16,INY-8CDEAEEE,24,INYECCION
IM-98006 98006 BUJE BARRA TENSORA HYUNDAI H-160 GRACE Y STAREX,INY-F006ACE4,27,INYECCION
IM-98007 98007 BUJE BARRA ESTABILIZADORA NAVARA NEW FRONTIER,INY-07DBDAE9,25,INYECCION
IM-98010 98010 BUJE SUAVIZADOR DE HOJA DE MUELLE TOYOTA HILUX VIGO,INY-91EEAEE5,26,INYECCION
IM-98011 98011 BUJE SUAVISADOR UNIVERSAL,INY-0515F19B,31,INYECCION
IM-98016 98016 BUJE BARRA ESTABILIZADORA LUV DMAX RT-50 2016 EN AELANTE,INY-265DEAD7,22,INYECCION
IM-98017 98017 BUJE BARRA ESTABILIZADORA HINO FC CON PESTAÑA,INY-9BBB3ACC,25,INYECCION
IM-98018 98018 BUJE BARRA ESTABILIZADORA HINO SIN PESTAÑA,INY-120DE7AA,26,INYECCION
IM-98020 98020 BUJE TIJERA DE MAZDA B200,INY-20803252,31,INYECCION
IM-98025 98025 BUJE TOPE AUXILIAR MUELLE HINO,INY-86258102,32,INYECCION
IM-98038 98038 BUJE MITSUBISHI CANTER,INY-58037BAE,33,INYECCION
IM-98039 98039 BUJE SUAVISADOR BOLIVIA,INY-58037BAE,32,INYECCION
IM-98042 98042 BUJE CHERY VAN 2020,INY-20803252,39,INYECCION
IM-98048 98048 BUJE CONICO 16mm,983090cc,36,INYECCION
IM-98052 98052 BUJE BARRA ESTABILIZADORA TOYOTA HILUX OEM:48815-0K040,INY-4C40522D,25,INYECCION
IM-98053 98053 BUJE BARRA ESTABILIZADORA TOYOTA HILUX,INY-58037BAE,31,INYECCION
IM-98060 98060 BUJE PUNTA  BARRA ESTABILIZADORA NPR,INY-9086E6A4,29,INYECCION
IM-98068 98068 BUJE BARRA ESTABILIZADORA CHEVROLET LUV 2300 4X2 4X4 TROOPER,FR-9306HDR,19,FICHAS_INT_CAR
IM-98077 98077 BUJE CONICO UNIVERSAL,INY-8075CCCE,33,INYECCION
IM-98082 98082 BUJE TOPE MUELLE DELANTERO NKR Y NPR COMPLETO,INY-8CDEAEEE,31,INYECCION
IM-98082R 98082R BUJE REPUESTO TOPE MUELLE DELANTERO NPR Y NKR,INY-8CDEAEEE,27,INYECCION
IM-98088 98088 BUJE MUELLE CHEROLET N300 14mm  (CORTO),INY-9C0CE0FE,25,INYECCION
IM-98089 98089 BUJE MUELLE VEHICULOS CHINOS,INY-EE0D8988,29,INYECCION
IM-98090 98090 BUJE BARRA ESTABILIZADORA DELANTERO CHEVROLET-SUZUKI VITARA-GRAND VITARA - SAMURAI,INY-8CDEAEEE,17,INYECCION
IM-99015 99015 BUJE TOPE MUELLE SUSPENSION TRASERA TOYOTA HILUX VIGO REVO,INY-591EE0EE,26,INYECCION
INT9306HD TUBO INTERNO NKR LARGO,FR-9306HDR,43,FICHAS_INT_CAR
INT9380 TUBO INTERIOR NPR,FR-9380,38,FICHAS_INT_CAR
INT9609 BUJE INTERNO RB-410,INY-6C841E60,41,INYECCION
INT9722 TUBO INTERIOR 413,INY-4A632612,38,INYECCION
INT9723 TUBO INTERIOR NKR PARA 440,INY-14E4B23E,30,INYECCION
INT9735 BUJE INTERNO BT-50,INY-F9BE9D75,42,INYECCION
INT9740 TUBO INTERNO TIJERA DE LUV,INY-BD8CE474,30,INYECCION
INT9760 TUBO INTERNO 9760-PRADO,INY-52970766,37,INYECCION
INT9780 INTERNO PARA ENSAMBLE 9780,INY-7E1BD3E7,35,INYECCION
INT9820 INTERNO BUJE TIJERA MAZDA B2000 9820,INY-A9B08206,32,INYECCION
INT9821 INTERNO BUJE 9821,INY-95108E82,43,INYECCION
"INT9845 INTERNO  Ø INT 14,5 - Ø EXT 19,5 - ALTURA 95 (9845)",INY-A14AFE98,30,INYECCION
INT9851 TUBO PARA 9851,FR-9851,41,FICHAS_INT_CAR
"KIT-01-5003 01-5003 BUJE SUPLEMENTO MAZDA BT-50, FORD RANGER",INY-1702535B,25,INYECCION
KIT-02-5003 02-5003 BUJE SUPLEMENTO LUV DMAX 4X2,INY-1702535B,30,INYECCION
KIT-03-5002 03-5002  BUJE SUPLEMENTO TOYOTA,INY-20803252,37,INYECCION
KIT-04-5006 04-5006 KIT BUJE SUPLEMENTO 5006 NISSAN FRONTIER NP 300,INY-4500E455,23,INYECCION
"KIT-05-5008 05-5008 KIT BUJE SUPLEMENTO FORD RANGER LIMITED 3,2 MOD 2020",INY-05001208,24,INYECCION
KIT-06-5002A 06-5002A KIT BUJE SUPLEMENTO TOYOTA,INY-606624A0,33,INYECCION
KIT-07-5014 07-5014 KIT BUJE SUPLEMENTO DELANTERO TOYOTA COROLLA CROSS,INY-8075CCCE,24,INYECCION
KIT-08-5009 08-5009 KIT BUJE SUPLEMENTO FORD 150,INY-01559D96,30,INYECCION
KIT-09-5002B 09-5002B KIT BUJE SUPLEMENTO TOYOTA,INY-05001208,33,INYECCION
KIT-5002 KIT-5002 KIT BUJE SUPLEMENTO TOYOTA,INY-20803252,32,INYECCION
"KIT-5003 KIT 5003 BUJE SUPLEMENTO MAZDA BT-50, FORD RANGER",INY-D03023ED,26,INYECCION
KIT-5006 KIT-5006  BUJE SUPLEMENTO 5006 NISSAN FRONTIER NP 300,INY-682A656F,22,INYECCION
MG-01 MANGO PARA ESCOFINA AMARILLO,INY-0E18A1A2,30,INYECCION
MG-02 MANGO PARA ESCOFINA AZUL,INY-02CCAE9F,33,INYECCION
MG-03 MANGO PARA ESCOFINA FOTOLUMINISCENTE,INY-CF0EC78A,26,INYECCION
MG-04 MANGO PARA ESCOFINA GRIS,INY-CF0EC78A,33,INYECCION
MG-05 MANGO PARA ESCOFINA MORADO,405aaadf,30,INYECCION
MG-06 MANGO PARA ESCOFINA NARANJA,INY-CF0EC78A,27,INYECCION
MG-07 MANGO PARA ESCOFINA ROSADO,087c2fad,30,INYECCION
MG-08 MANGO PARA ESCOFINA ROJO,INY-CF0EC78A,29,INYECCION
MG-09 MANGO PARA ESCOFINA VERDE,09eaaee2,36,INYECCION
MG-10 MANGO PARA ESCOFINA CRISTALINO,INY-02CCAE9F,29,INYECCION
MGP-A MANGO PUNTERA PARA ESCOFINA,acaacbe9,24,INYECCION
"MT-7000 7000 BUJE PULSAR 220, 180  Y 150",INY-58037BAE,32,INYECCION
"MT-7000-B 7000-B BUJE PULSAR 220, 180 Y 150",INY-58037BAE,30,INYECCION
MT-7001 7001 BUJE UM RENEGADE Y AKT SL 125,INY-1D01A01E,33,INYECCION
"MT-7002 7002 BUJE PULSAR NS 200, PULSAR 1, KTM 200, 390 DUKE 200",INY-20803252,22,INYECCION
"MT-7002-B 7002-B BUJE PULSAR NS 200, PULSAR 1, KTM 200 Y 390",INY-20803252,26,INYECCION
"MT-7002-SP-A 7002-SP-A  BUJE KTM 200, 250, 390 NG Y CLASICA . DOMINAR 250 Y 400UG. SVARPILEN 200",INY-20803252,20,INYECCION
"MT-7002-SP-B MT-7002-SP-B BUJE KTM 200,390 Y DOMINAR 400",INY-20803252,29,INYECCION
MT-7003 7003 BUJE GENERICO MOTO,INY-D03023ED,33,INYECCION
"MT-7004 7004 BUJE AKT EVO, APACHE 160,  180 Y 200 SOLO FRENO DE DISCO. SUZUKI GN 125",INY-584670BD,24,INYECCION
"MT-7004-B 7004-B BUJ AKT EVO, APACHE 160, 180 Y 200 SOLO PARA CAMPANA",INY-10A147CA,23,INYECCION
MT-7005 7005 BUJE AKT CR4,7000-B,39,PULIDO
"MT-7005-B 7005-B BUJE BAJAJ, BOXER, DISCOVER, PLATINO 125 Y XL",INY-1702535B,28,INYECCION
MT-7006A 7006A  LIMPIABRISAS PARA MOTO AMARILLO,INY-0DDA7069,24,INYECCION
MT-7006AZ 7006AZ LIMPIABRISAS PARA MOTO AZUL,INY-0DDA7069,25,INYECCION
MT-7006B 7006B LIMPIABRISAS PARA MOTO BEIGE,78b006ba,27,INYECCION
MT-7006F 7006F LIMPIABRIASAS PARA MOTO FUCSIA,INY-F006ACE4,25,INYECCION
MT-7006FT 7006FT LIMPIABRISAS  PARA MOTO FOTOLUMINISCENTE,INY-F006ACE4,24,INYECCION
MT-7006G 7006G LIMPIABRISAS PARA MOTO GRIS,7000-B,25,PULIDO
MT-7006M 7006MT LIMPIABRISAS PARA MOTO MORADO,CM7002SPA,26,PULIDO
MT-7006N 7006N LIMPIABRISAS PARA MOTO NARANJA,INY-0DDA7069,25,INYECCION
MT-7006NG 7006 NG LIMPIABRISAS PARA MOTO NEGRO,INY-F006ACE4,24,INYECCION
MT-7006R 7006R LIMPIABRISAS  PARA MOTO ROJO,7000-B,25,PULIDO
MT-7006V 7006V LIMPIABRISAS PARA MOTO VERDE,7000-B,24,PULIDO
MT-7006VM 7006 VM LIMPIA BRISAS PARA MOTO VERDE MILITAR,INY-006A5C5A,21,INYECCION
MT-7007 7007 BUJE KAWASAKI Z 250 Y NINJA 300,INY-58037BAE,36,INYECCION
"MT-7008 7008 BUJE  HONDA CB 160, 190 E INVICTA 150",INY-F5878EE5,30,INYECCION
"MT-7008-B 7008-B BUJE HONDA CB 160, 190 E INVICTA 150",INY-F5878EE5,28,INYECCION
MT-7009 7009 BUJE AKT,7000-B,44,PULIDO
MT-7009-B 7009-B BUJE YAMAHA R15 SOLO FRENO DE DISCO,INY-77D1BEE1,28,INYECCION
